City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Stephenville,US,89.73,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
339,Laguna,US,77.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
346,Sola,VU,83.07,light rain,-13.8833,167.55,Leumerus Bungalows
348,Karratha,AU,87.91,clear sky,-20.7377,116.8463,ibis Styles Karratha
350,Curaca,BR,81.0,broken clouds,-8.9903,-39.9094,Hotel Recanto Campestre
351,Progreso,MX,80.19,few clouds,21.2833,-89.6667,Playa Linda Hotel
352,Acapulco,MX,77.23,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
358,Davila,PH,84.18,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
361,Araceli,PH,82.85,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
362,Grand Gaube,MU,79.2,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
365,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
367,Emerald,AU,82.35,scattered clouds,-23.5333,148.1667,The Irish Village
373,Dubbo,AU,77.13,clear sky,-32.25,148.6167,Quality Inn Dubbo International
378,Belmonte,BR,77.68,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
382,Mango,US,81.05,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
383,Waihi Beach,NZ,76.82,scattered clouds,-37.4,175.9333,Manawa Ridge
384,Touros,BR,78.93,clear sky,-5.1989,-35.4608,INN NEW HORIZON
385,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
391,Pemangkat,ID,82.02,light rain,1.1667,108.9667,Ramah Kost KITA
404,Bastrop,US,82.08,clear sky,32.7562,-91.8724,Best Budget Inn
405,Sao Miguel Do Araguaia,BR,77.65,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
407,Camocim,BR,76.24,moderate rain,-2.9022,-40.8411,Ilha Praia Hotel
411,Ridgecrest,US,89.46,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
414,Sinnamary,GF,77.38,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
417,Matamoros,MX,81.05,clear sky,25.5333,-103.25,Quinta Belem
422,Rockport,US,78.82,mist,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
423,Bilma,NE,84.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
424,Bama,NG,80.8,broken clouds,11.5221,13.6856,UN Humanitarian Hub
425,Emiliano Zapata,MX,80.31,few clouds,18.8333,-99.1833,Parador De Manolos Hotel
432,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
437,Chateaubelair,VC,77.16,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
438,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
441,Lajas,PR,79.18,overcast clouds,18.05,-67.0593,Hostal Universitario interamericana Río Piedras
443,Mariakani,KE,76.42,clear sky,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
447,Joao Pinheiro,BR,75.83,overcast clouds,-17.7425,-46.1725,Hotel Santos
452,Vanimo,PG,85.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
453,Sweetwater,US,81.0,few clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
457,Port Augusta,AU,76.35,clear sky,-32.5,137.7667,Majestic Oasis Apartments
460,Naukot,PK,78.33,overcast clouds,24.8587,69.4024,Rolak Sigrat Shop
465,Pozo Colorado,PY,78.75,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
466,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
467,Gweta,BW,76.46,clear sky,-20.1833,25.2333,Gweta Lodge
473,Baranoa,CO,79.45,scattered clouds,10.7941,-74.9164,Hotel Manzanares
475,Pa Daet,TH,80.01,overcast clouds,19.5049,99.9924,วัชชระ วรรณะสุข
480,Clearwater,US,79.18,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
481,Lorengau,PG,80.62,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
484,Candelaria,PH,80.38,overcast clouds,13.9311,121.4233,Casa de Provincia
486,Careiro Da Varzea,BR,77.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
492,Tala,EG,75.0,scattered clouds,30.6803,30.9429,وي
493,Sur,OM,81.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
495,Awjilah,LY,83.66,few clouds,29.1081,21.2869,المنزل
497,Hun,LY,84.11,clear sky,29.1268,15.9477,Alrwasi Hotel
500,Kismayo,SO,80.19,clear sky,-0.3582,42.5454,Agan-Hotel
502,Banda,IN,80.92,clear sky,25.4833,80.3333,Hotel Comfort-Inn
505,Tual,ID,82.78,clear sky,-5.6667,132.75,Grand Vilia Hotel
509,Pindiga,NG,81.16,broken clouds,9.9833,10.9333,Accommodation Center
510,Morondava,MG,75.52,few clouds,-20.2833,44.2833,La Case Bambou
513,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
514,Bandarbeyla,SO,77.4,clear sky,9.4942,50.8122,JABIR HOTEL
515,Tiarei,PF,89.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
517,Buluang,PH,84.29,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
525,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
531,Usta Muhammad,PK,80.17,broken clouds,28.1794,68.0445,Hindu Colony
532,Proteccion,HN,84.27,scattered clouds,15.0333,-88.65,Los Chorros Protección Santa Bárbara
533,Mitsamiouli,KM,81.12,clear sky,-11.3847,43.2844,Foyer ADM
536,Buchanan,LR,79.14,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
540,Rosarito,MX,75.24,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
547,Kalmunai,LK,77.63,broken clouds,7.4167,81.8167,VS Villa
548,Auki,SB,79.11,overcast clouds,-8.7676,160.7034,Auki Motel
549,Borborema,BR,75.22,scattered clouds,-21.6197,-49.0736,Reday Hotel
550,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
553,Fare,PF,82.89,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
557,Kattivakkam,IN,81.07,clear sky,13.2167,80.3167,Euronova Freezer
566,Jiwani,PK,79.29,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
573,Ojinaga,MX,89.42,clear sky,29.5667,-104.4167,Suites Las Palmas
575,Ternate,ID,82.09,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
579,Vao,NC,76.71,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
598,Carlsbad,US,81.09,scattered clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
603,Dumai,ID,77.11,scattered clouds,1.6833,101.45,Grand Zuri Dumai
613,Caravelas,BR,76.66,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
614,Pontian Kecil,MY,77.32,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
617,Tonj,SS,82.17,clear sky,7.2737,28.6822,Lakan Hotel
621,Coxim,BR,77.41,clear sky,-18.5067,-54.76,Hotel Avenida
623,Pangkalanbuun,ID,79.25,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
627,Spring Hill,US,79.07,overcast clouds,28.4769,-82.5255,Room of The world By traveline Plus
628,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
630,Ratnagiri,IN,79.16,overcast clouds,16.9833,73.3,Hotel Landmark
634,Pangai,TO,86.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
636,Kralendijk,BQ,78.53,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
641,Ribas Do Rio Pardo,BR,78.94,broken clouds,-20.4431,-53.7592,Pousada Avenida
642,Kulhudhuffushi,MV,82.96,few clouds,6.6221,73.07,Haajy Guest House 1
647,Luganville,VU,85.26,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
650,Boyolangu,ID,79.81,broken clouds,-8.1181,111.8935,Yos ega cv
651,Jenjarom,MY,78.91,scattered clouds,2.8766,101.4988,ZIDA HOMESTAY
653,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
654,Pochutla,MX,79.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
658,Sokoni,TZ,82.89,clear sky,-6.4333,39.55,Ujamaa Beach Resort
