City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,El Estor,GT,2022-04-03 21:56:48,15.5333,-89.35,90.88,44,20,5.3
1,Fortuna,US,2022-04-03 21:56:49,40.5982,-124.1573,59.94,65,0,17.27
2,Ushuaia,AR,2022-04-03 21:55:35,-54.8,-68.3,38.86,87,75,20.71
3,Port Lincoln,AU,2022-04-03 21:56:09,-34.7333,135.8667,59.77,81,2,2.95
4,Roald,NO,2022-04-03 21:56:49,62.5833,6.1333,38.75,100,100,4.61
5,Yellowknife,CA,2022-04-03 21:51:56,62.456,-114.3525,23.41,63,75,13.8
6,Marsh Harbour,BS,2022-04-03 21:56:50,26.5412,-77.0636,76.48,75,35,15.95
7,Lavrentiya,RU,2022-04-03 21:56:50,65.5833,-171.0,-5.04,84,15,11.83
8,Vaini,TO,2022-04-03 21:56:50,-21.2,-175.2,75.36,94,75,5.75
9,Acapulco,MX,2022-04-03 21:52:33,16.8634,-99.8901,83.93,55,19,11.27
10,Grindavik,IS,2022-04-03 21:53:37,63.8424,-22.4338,39.15,100,75,11.5
11,Rawson,AR,2022-04-03 21:56:51,-43.3002,-65.1023,59.23,34,10,5.97
12,Tautira,PF,2022-04-03 21:56:51,-17.7333,-149.15,82.08,75,33,14.14
13,Talnakh,RU,2022-04-03 21:56:51,69.4865,88.3972,-0.17,97,84,6.93
14,Mar Del Plata,AR,2022-04-03 21:56:52,-38.0023,-57.5575,60.82,73,75,17.27
15,Hermanus,ZA,2022-04-03 21:56:52,-34.4187,19.2345,59.81,90,8,6.93
16,Bredasdorp,ZA,2022-04-03 21:56:52,-34.5322,20.0403,60.49,91,39,0.65
17,Praia Da Vitoria,PT,2022-04-03 21:56:53,38.7333,-27.0667,59.76,94,40,14.81
18,Provideniya,RU,2022-04-03 21:56:53,64.3833,-173.3,10.51,67,0,13.42
19,Ilhabela,BR,2022-04-03 21:56:54,-23.7781,-45.3581,74.86,90,24,7.47
