City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
52,Faanui,-16.4833,-151.75,82.92,76,6,19.73,PF,2022-04-06 00:41:44,light rain
53,Derzhavinsk,51.1,66.3167,30.25,87,24,8.03,KZ,2022-04-06 00:41:19,few clouds
54,Ponta Do Sol,32.6667,-17.1,59.0,64,48,8.03,PT,2022-04-06 00:41:44,scattered clouds
55,Tuy Hoa,13.0833,109.3,74.95,86,100,12.46,VN,2022-04-06 00:39:55,overcast clouds
56,Saint-Philippe,-21.3585,55.7679,75.22,88,100,9.4,RE,2022-04-06 00:41:44,light rain
57,Drayton Valley,53.2168,-114.9854,42.44,49,100,13.27,CA,2022-04-06 00:41:45,overcast clouds
58,Lavrentiya,65.5833,-171.0,2.17,75,3,5.17,RU,2022-04-06 00:41:45,clear sky
59,Matiri,-10.75,34.9,61.61,94,95,2.91,TZ,2022-04-06 00:41:45,overcast clouds
60,Albany,42.6001,-73.9662,54.25,59,100,5.55,US,2022-04-06 00:41:46,overcast clouds
61,Hovd,48.0056,91.6419,45.41,27,3,3.27,MN,2022-04-06 00:41:46,clear sky
62,Port Macquarie,-31.4333,152.9167,74.35,66,1,4.45,AU,2022-04-06 00:40:30,clear sky
63,Qaanaaq,77.484,-69.3632,11.39,90,100,1.52,GL,2022-04-06 00:41:46,overcast clouds
64,Arlit,18.7369,7.3853,86.2,6,98,10.09,NE,2022-04-06 00:41:47,overcast clouds
65,Kumo,10.0447,11.2122,84.99,23,48,4.43,NG,2022-04-06 00:41:47,scattered clouds
66,Airai,-8.9266,125.4092,71.58,59,74,2.44,TL,2022-04-06 00:39:46,broken clouds
67,Cabo San Lucas,22.8909,-109.9124,75.61,64,0,12.66,MX,2022-04-06 00:39:47,clear sky
68,Najran,17.4924,44.1277,65.05,13,0,2.82,SA,2022-04-06 00:41:48,clear sky
69,Meulaboh,4.1363,96.1285,77.77,84,100,2.98,ID,2022-04-06 00:41:48,overcast clouds
70,Araouane,18.9048,-3.5265,84.47,14,0,10.83,ML,2022-04-06 00:41:48,clear sky
71,Youghal,51.95,-7.8506,48.09,100,100,16.55,IE,2022-04-06 00:41:49,overcast clouds
72,Arraial Do Cabo,-22.9661,-42.0278,76.53,89,8,13.29,BR,2022-04-06 00:41:49,clear sky
